notes,visibility,startime,duration,survey,depth,year,month,day,exceldate,site,transect,fixed_transect,lunar day,repeatdays,repeatpair,TransectMatchCode,popaa,popaj,micha,michj,popla,poplj,polea,polej,povaa,povaj,podia,podij,pofua,pofuj,chcya,chcyj,chmua,chmuj,chinj,absaa,thbia,thbij,hagaa,hagaj,habia,habij,haraa,haraj,hapoa,hapoj,hamaa,hamaj,hacya,hacyj,clpaa,clpaj,hapia,hapij,lamaa,borua,boruj,sccra,sccrj,sctaa,spvia,spvij,spaua,spauj,scvea,scgua,scvej,sprua,spruj,sccoa,spcha,spchj,spraa,spata,spatj,crroa,niusa,chcaa,chcaj,chsta,chstj,chsea,chocj,accoa,accoj,acbaa,acbaj,accha,acchj,hypua,hyuna,hynia,hynij,hycha,hychj,hygua,hyguj,hyspa,hyina,hyspj,epgua,epguj,epcra,epcrj,epada,epadj,epfua,epfuj,setia,setij,epsta,mytia,myvea,setaa,setaj,setoa,caroa,caroj,spspa,spdoa,hafla,haflj,anvia,hacaa,hasta,hapla,haaua,haauj,hacha,hacra,hasca,hamea,ansua,haunj,aumaa,aumaj,psmaa,mumaa,mumaj,eqpua,eqpuj,eqaca,eqlaa,syina,hocia,poara,porua,ceara,hotra,oddea,luapa,occha,occhj,lusya,lujoa,lugra,lumaa,latrj,latra,labia,laqua,motua,motuj,mocia,capua,camaa,alsca,ampia,bacaa,bavea,menia,gecia,cacaa,capea,dihya,chfa,invia,grloa,ptvoa,aptvoj,kysea
,,,,main,30,1992,july,18,18/7,pelican,t,y,5,6,16,main-30-1992-july-18-pelican-t,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,20,20/7,iguana,1,n,7,1,6,main-30-1992-july-20-iguana-1,14,0,2,0,24,1.5,6,1.5,1,0,1,0,0,0,0,1.5,10,1.5,0,0,4,9,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1.5,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,20,20/7,iguana,2,n,7,1,6,main-30-1992-july-20-iguana-2,3,1.5,2,0,25,0,10,1.5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,4,5,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1.5,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,20,20/7,iguana,t,y,7,1,6,main-30-1992-july-20-iguana-t,2,1.5,3,0,28,3,15,3,0,0,0,0,0,0,2,13.5,6,6,0,0,2,7.5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,bigelow,1,n,8,3,1,main-30-1992-july-21-bigelow-1,3,1.5,0,0,8,0,5,1.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13.5,0,3,1.5,7,0,4,0,15,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,bigelow,2,n,8,3,1,main-30-1992-july-21-bigelow-2,0,0,0,0,3,0,5,3,0,0,2,0,0,0,2,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,bigelow,t,y,8,3,1,main-30-1992-july-21-bigelow-t,3,0,0,0,9,0,3,4.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,2,1.5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,iguana,1,n,8,1,6,main-30-1992-july-21-iguana-1,3,0,2,0,30,1.5,11,4.5,0,0,0,0,0,0,0,0,1,0,0,0,2,1.5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1.5,1,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.5,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,iguana,2,n,8,1,6,main-30-1992-july-21-iguana-2,5,0,2,0,27,1.5,12,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,1.5,5,0,2,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,21,21/7,iguana,t,y,8,1,6,main-30-1992-july-21-iguana-t,6,0,1,0,24,1.5,10,3,4,0,0,0,0,0,0,0,0,0,0,0,4,6,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.5,4,3,7.5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,muskN,1,n,9,4,14,main-30-1992-july-22-muskN-1,1,0,1,0,27,1.5,8,1.5,0,0,0,0,0,0,2,3,0,0,0,0,0,4.5,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,1,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,muskN,2,n,9,4,14,main-30-1992-july-22-muskN-2,0,1.5,1,0,45,1.5,4,0,0,0,0,0,0,0,5,4.5,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10.5,0,1,0,2,0,8,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,muskN,t,y,9,4,14,main-30-1992-july-22-muskN-t,3,0,2,0,48,6,6,0,4,0,0,0,0,0,3,0,5,3,0,0,1,4.5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,white,1,n,9,5,18,main-30-1992-july-22-white-1,0,0,0,0,38,1.5,4,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,3,12,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.5,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,white,2,n,9,5,18,main-30-1992-july-22-white-2,0,0,0,0,28,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,22,22/7,white,t,y,9,5,18,main-30-1992-july-22-white-t,0,3,0,0,43,1.5,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,crab,1,n,10,8,3,main-30-1992-july-23-crab-1,2,1.5,2,0,18,1.5,7,1.5,0,0,4,0,0,1.5,0,0,0,0,0,0,0,15,3,16.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,16.5,0,6,1.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,crab,2,n,10,8,3,main-30-1992-july-23-crab-2,4,0,2,0,20,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,4.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,crab,t,y,10,8,3,main-30-1992-july-23-crab-t,0,0,1,0,21,0,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4.5,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,grand,1,n,10,0,,main-30-1992-july-23-grand-1,0,1.5,3,0,0,0,11,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,4.5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,grand,2,n,10,0,,main-30-1992-july-23-grand-2,0,1.5,5,0,0,0,8,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1.5,10,1.5,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,main,30,1992,july,23,23/7,grand,t,y,10,0,,main-30-1992-july-23-grand-t,4,1.5,3,0,2,0,14,3,1,1.5,13,0,0,0,1,30,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1.5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
